,p_parkacc,pop2010,gini_index,median_hh_income,ave_fam_size,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,poverty_all,unemp_rate,voted,bad_water,traf_sev,alc_on,nocar,hh_fam,placename,county,regionid,placefp,geoname,zri_sqft,hval_sqft
85,0.735018,80530.0,0.393,63295.0,3.42,1.4087769,0.8140618,1.4767374069,13.874655554,81.1,29.2171916705,9.8,7.0,46.5801856,0.0,19.3311424705,38.3546504408,5.5535883585,81.3,Buena Park,Orange,10608.0,8786,Buena Park city,1.616,276.0
86,0.7779369,103340.0,0.429,63356.0,2.92,4.1468206,3.3755062,13.094477846,13.95707518,87.7,23.3426310948,8.2,6.8,54.4458544,0.0,17.8333281643,65.3473969421,6.54384095881,60.6,Burbank,Los Angeles,396054.0,8954,Burbank city,1.682,349.0
87,0.4232643,4926.0,0.469,54095.0,2.51,0.1668763,0.2021331,0.666667,9.830256,76.3,31.0776942356,12.2,6.5,63.1390593,0.0,12.177795819,86.2362971985,10.0730659026,54.2,Burbank,Santa Clara,3893.0,8968,Burbank CDP,1.804,366.0
88,0.8910991,28806.0,0.483,81849.0,2.56,2.7573951,2.4790448,0.0,8.365213,94.1,8.79180039604,7.2,6.5,66.6405995,0.0,28.8714095585,47.2436297993,15.9201396545,56.4,Burlingame,San Mateo,17235.0,9066,Burlingame city,2.058,561.0
89,0.3684211,3154.0,0.412,44632.0,2.82,0.4441341,1.0111288,6.75381375933,12.2522088064,88.9,18.1347150259,14.4,3.9,69.2625775,0.0,12.9407958589,11.762840837,6.6,67.8,Burney,Shasta,30663.0,9122,Burney CDP,0.982,103.0
90,0.0,2535.0,0.356,31417.0,2.69,2.0653333,1.3793411,64.0,7.273173,67.5,75.0,32.1,11.2,45.3282828,100.0,145.002589332,3.74753451677,2.3,79.9,Cabazon,Riverside,10649.0,9360,Cabazon CDP,0.914,
91,0.7427357,23058.0,0.477,116403.0,3.15,1.7667091,1.5060729,1.9290484509,11.809183747,97.3,6.51416798732,6.0,7.4,62.2521752,0.0,38.3365425666,10.6297163674,1.6,76.4,Calabasas,Los Angeles,37688.0,9598,Calabasas city,1.54,320.0
92,0.9461526,38572.0,0.467,34848.0,3.82,1.0464839,0.560873,2.0,9.388465,54.4,34.2983565107,22.1,16.1,38.9231369,0.0,11.2367366376,16.5404956964,6.4,86.1,Calexico,Imperial,10662.0,9710,Calexico city,1.212,81.0
93,0.6067989,14120.0,0.407,47038.0,3.93,0.2059835,0.3973466,15.756002881,6.4812253758,80.1,19.9660848749,23.0,18.7,58.1982352,0.0,28.257410134,8.37818696884,3.4,73.9,California City,Kern,44406.0,9780,California City city,0.65,54.0
94,0.0804671,7879.0,0.417,48945.0,3.03,0.3381142,0.4048982,69.984600418,9.7708868138,87.6,15.4958677686,13.7,7.8,66.9534525,0.0,41.4658166174,13.8596268562,2.1,65.4,Calimesa,Riverside,10665.0,9864,Calimesa city,0.89,109.0
95,0.9885548,5155.0,0.457,50128.0,2.37,0.8553345,0.9224768,0.0,7.057524,85.4,25.3605187032,10.5,5.5,72.9005901,100.0,31.2548835756,54.9369544132,10.4588435374,61.6,Calistoga,Napa,3929.0,9892,Calistoga city,1.624,368.0
96,0.9005537,65201.0,0.41,81518.0,2.95,1.2334986,1.1317194,0.666667,10.448070312,91.7,8.98501493517,4.7,6.9,66.0545632,0.0,35.12643964,29.1912700725,3.17651801546,70.0,Camarillo,Ventura,51239.0,10046,Camarillo city,1.314,246.0
97,0.3965517,6032.0,0.421,72066.0,3.32,0.4029331,0.964881,0.0,7.254907,91.6,21.3172932331,5.2,5.3,79.5003502,0.0,12.5568984461,22.7287798408,4.87440989135,64.6,Cambria,San Luis Obispo,17264.0,10074,Cambria CDP,1.604,323.0
98,0.5542352,3282.0,0.422,101848.0,3.53,0.5773857,0.4901293,0.333333,9.358285,92.3,11.1698765432,6.8,7.3,71.2552743,0.0,6.16332819723,34.1864716636,0.863787375415,78.2,Cambrian Park,Santa Clara,396554.0,10088,Cambrian Park CDP,1.64,411.0
99,0.392,1750.0,0.412,50899.0,3.8,0.1199552,0.2326087,13.909523773,7.339285,94.1,8.84436210552,13.5,15.6,74.7241725,35.9712611219,242.494226328,40.0,0.9,64.6,Camino,El Dorado,50350.0,10270,Camino CDP,0.952,147.0
100,0.8243666,39349.0,0.429,79464.0,2.6,1.3099655,1.1824915,0.3418042191,9.4330615699,92.1,9.97220697954,7.6,6.2,65.4704944,0.0,21.6671309623,58.1285420214,5.39494543366,59.3,Campbell,Santa Clara,17272.0,10345,Campbell city,1.654,402.0
